,task_id,pipeline_id,y
970,560,4,0.9965034965034966
971,560,6,0.996503
972,46,5,0.9965
973,271,15,0.9964912280701754
974,295,6,0.996479
975,295,4,0.9964788732394366
976,599,45,0.9964746311186404
977,588,14,0.9964717525063466
978,46,153,0.9964666666666666
979,562,32,0.9964641425791724
980,121,154,0.9964624361473844
981,566,20,0.9964589818256628
982,578,42,0.9964564043209876
983,475,5,0.996454
984,609,40,0.9964339440287568
985,31,46,0.996432
986,9,96,0.9964016666666669
987,9,88,0.9964016666666669
988,31,155,0.9963835708048328
989,562,4,0.9963814736957732
990,558,73,0.996378040073054
991,609,36,0.9963721838780574
992,0,46,0.996322
993,562,156,0.9963202337592144
994,562,6,0.9963044547887632
995,566,69,0.9962876714761958
996,4,157,0.996272593777248
997,562,158,0.9962685373294964
998,480,11,0.9962670180061484
999,1,44,0.9962657387712214
1000,459,5,0.99626
1001,588,0,0.9962544640936276
1002,562,49,0.9962531048633756
1003,12,76,0.9962469444444444
1004,20,10,0.9962412219031506
1005,1,58,0.9962378799346926
1006,8,42,0.996236935377514
1007,118,89,0.996232743534902
1008,31,9,0.9962285126166736
1009,86,49,0.9962025316455696
1010,86,58,0.9962025316455696
1011,4,41,0.9961865965731148
1012,31,11,0.9961649401090976
1013,4,108,0.9961406052588434
1014,548,42,0.9961286401352996
1015,548,8,0.9961154273029966
1016,4,56,0.99611534508844
1017,77,61,0.9961111111111112
1018,31,3,0.996111002825792
1019,544,1,0.996109
1020,12,90,0.9961041666666668
1021,12,159,0.9961041666666668
1022,12,160,0.9961041666666668
1023,562,161,0.9960993060322468
1024,20,14,0.9960934117716428
1025,4,68,0.9960925447247
1026,77,108,0.996060606060606
1027,598,147,0.9960508043954828
1028,548,2,0.996049363141483
1029,77,68,0.996047699214366
1030,574,2,0.9960460929008432
1031,609,47,0.9960120185750658
1032,609,12,0.9959952661448276
1033,31,40,0.995979916698176
1034,205,6,0.995968
1035,205,4,0.995967741935484
1036,548,29,0.995956873315364
1037,2,25,0.995945945945946
1038,385,1,0.99594
1039,4,83,0.9959389731963668
1040,1,32,0.9959382993475144
1041,1,156,0.9959382993475144
1042,609,23,0.9959345259815606
1043,551,5,0.99591
1044,558,11,0.995896442324188
1045,558,2,0.9958917017710518
1046,582,27,0.9958852978858024
1047,566,25,0.9958840297812072
1048,77,5,0.995884
1049,566,41,0.9958783931276548
1050,578,15,0.9958506944444444
1051,205,15,0.9958417338709676
1052,208,11,0.9958228905597326
1053,579,47,0.9958123326223316
1054,548,9,0.9958115321600336
1055,364,1,0.995799
1056,503,43,0.99578
1057,14,5,0.995778
1058,566,76,0.9957773381829736
1059,46,162,0.9957666666666668
1060,579,2,0.9957573893598968
1061,556,46,0.995744
1062,31,13,0.9957100969393112
